,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,total_issue_count,commit_count,licence
28,deepmind/sonnet,https://github.com/deepmind/sonnet,9268,Apache License 2.0,53,16789,9268,1323,True,29,5,2017-04-03T11:34:35Z,2022-04-27T22:19:15Z,True,174,848,
29,NVlabs/stylegan2,https://github.com/NVlabs/stylegan2,9379,Other,3,594,9379,2290,True,26,0,2019-11-26T20:52:23Z,2022-04-28T06:38:37Z,True,0,19,
30,lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,9667,MIT License,15,8319,9667,1591,False,85,5,2020-10-03T22:47:24Z,2022-04-28T08:57:52Z,True,0,241,
31,wilsonfreitas/awesome-quant,https://github.com/wilsonfreitas/awesome-quant,9288,,65,765,9288,1644,False,3,20,2015-09-30T09:53:49Z,2022-04-28T08:25:44Z,True,45,295,Not Found
32,jindongwang/transferlearning,https://github.com/jindongwang/transferlearning,9242,MIT License,34,36345,9242,3218,True,3,20,2017-04-30T11:32:21Z,2022-04-28T08:55:29Z,True,260,986,
33,Zulko/moviepy,https://github.com/Zulko/moviepy,9177,MIT License,147,41593,9177,1237,True,288,7,2013-08-12T09:39:28Z,2022-04-28T07:12:25Z,True,1143,1074,
34,sympy/sympy,https://github.com/sympy/sympy,9109,Other,1138,153698,9109,3653,False,4452,5,2010-04-30T20:37:14Z,2022-04-28T08:59:26Z,True,11765,50787,
35,coleifer/peewee,https://github.com/coleifer/peewee,9104,MIT License,147,13907,9104,1333,False,1,5,2010-10-11T20:14:11Z,2022-04-28T07:42:10Z,True,2123,4410,
36,fossasia/visdom,https://github.com/fossasia/visdom,9108,Apache License 2.0,113,30039,9108,1095,False,98,0,2017-01-25T17:59:45Z,2022-04-28T07:19:43Z,True,527,392,
37,pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,9093,Other,426,51707,9093,1788,False,307,8,2011-11-23T11:05:56Z,2022-04-27T05:46:28Z,True,4495,8350,
38,harelba/q,https://github.com/harelba/q,9022,GNU General Public License v3.0,24,3189,9022,384,True,89,13,2012-01-30T21:12:09Z,2022-04-28T03:43:12Z,True,202,403,
39,apenwarr/sshuttle,https://github.com/apenwarr/sshuttle,8960,Other,36,1143,8960,662,False,21,0,2010-05-02T06:50:16Z,2022-04-27T19:44:23Z,True,0,414,
40,Gallopsled/pwntools,https://github.com/Gallopsled/pwntools,8963,Other,203,27255,8963,1502,False,128,19,2013-04-29T14:43:03Z,2022-04-28T00:08:51Z,True,879,4092,
41,x-hw/amazing-qr,https://github.com/x-hw/amazing-qr,9033,GNU General Public License v3.0,6,8228,9033,1450,False,52,6,2016-08-25T12:51:42Z,2022-04-28T09:11:58Z,True,70,93,
42,bbfamily/abu,https://github.com/bbfamily/abu,8947,GNU General Public License v3.0,3,98941,8947,3199,False,2,11,2016-09-19T15:31:53Z,2022-04-27T08:01:05Z,True,0,66,
43,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,https://github.com/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,8913,,152,1236,8913,695,False,226,2,2018-11-08T04:09:47Z,2022-04-28T09:22:41Z,True,234,415,Not Found
44,thumbor/thumbor,https://github.com/thumbor/thumbor,8919,MIT License,174,51640,8919,760,False,10,0,2011-03-16T17:30:05Z,2022-04-27T20:39:01Z,True,876,2308,
45,rushter/MLAlgorithms,https://github.com/rushter/MLAlgorithms,8890,MIT License,26,11924,8890,1572,False,8,5,2016-10-05T06:46:45Z,2022-04-28T06:16:19Z,True,25,146,
46,OWASP/owasp-mstg,https://github.com/OWASP/owasp-mstg,8869,Creative Commons Attribution Share Alike 4.0 International,206,383911,8869,1896,False,129,18,2016-09-30T08:22:29Z,2022-04-28T08:12:04Z,True,777,7722,
47,sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,8906,MIT License,15,359,8906,2147,False,19,10,2019-03-11T17:38:45Z,2022-04-28T03:46:03Z,True,184,214,
48,aws/chalice,https://github.com/aws/chalice,8838,Apache License 2.0,187,9893,8838,915,True,378,10,2016-05-27T23:27:13Z,2022-04-28T06:31:49Z,True,1115,2308,
49,Dod-o/Statistical-Learning-Method_Code,https://github.com/Dod-o/Statistical-Learning-Method_Code,8890,,3,51516,8890,2625,False,14,3,2018-11-15T15:33:17Z,2022-04-28T03:49:48Z,True,27,126,Not Found
50,facebookresearch/maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,8831,MIT License,86,6842,8831,2522,False,522,0,2018-10-24T17:34:50Z,2022-04-28T02:49:25Z,True,1045,230,
51,facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,8783,MIT License,180,95230,8783,1833,False,91,0,2017-04-24T17:10:44Z,2022-04-28T06:23:50Z,True,1299,4131,
52,facebook/chisel,https://github.com/facebook/chisel,8780,MIT License,74,3523,8780,785,False,44,0,2014-02-21T18:24:17Z,2022-04-27T08:52:37Z,True,135,459,
53,SecureAuthCorp/impacket,https://github.com/SecureAuthCorp/impacket,8771,Other,172,8082,8771,2637,False,208,10,2015-04-15T14:04:07Z,2022-04-28T08:55:38Z,True,717,3705,
54,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,8758,Apache License 2.0,320,78413,8758,868,False,501,12,2018-06-29T21:59:26Z,2022-04-28T02:33:08Z,True,2194,14493,
